"Enable permissions","Activer la gestion des droits"
"Permissions are currently disabled. To enable permissions, go to System > Configuration > Content Management > Clever CMS.","La gestion des droits est actuellement désactivée. Pour l'activer, allez dans Système > Configuration > Gestion de contenu > Clever CMS."
"An error occurred while saving permissions.","Une erreur est survenue lors de la sauvegarde des droits."
"Permissions have been successfully saved.","Les droits ont été enregistrés avec succès."
"Manage Content Permissions","Gestion des droits sur les pages de contenu"
"Save Permissions","Sauvegarder les droits"
"Pages Permissions","Liste des droits sur les pages de contenu"
"Choose Customer Group","Choisir un groupe utilisateur"
"Please confirm customer group switching. All data that hasn't been saved will be lost.","Veuillez confirmer le changement de groupe utilisateur. Les données non sauvegardées seront perdues."
"Permissions","Gérer les droits"
"Manage Content","Gérer le contenu"
"Manage Permissions","Gérer les droits"
"URL Key","Clé d'url"
"Include in Navigation Menu","Inclure dans le menu de navigation"
"Leave blank for automatic generation.<br />URL is relative to parent URL. Current URL: %s","Laissez vide pour génération automatique.<br />L'url est relative à l'url de la page parente. URL actuelle : %s"
"Set <em>clever</em> theme and <em>default</em> package to have an example of navigation","Activez le thème <em>clever</em> et le package <em>default</em> pour avoir un exemple de navigation"
"Create Permanent Redirect for URLs if URL Key Changed","Créer des redirections d'URL permanentes si celles-ci changent"
